title,link,price,carYear,location,mileage,engineSize,engineType,Transmission,Colour,Owners,NCT,BodyType
Volkswagen Golf GTD 2.0TDI 185BHP DSG BMT,http://www.carzone.ie/search/Volkswagen/Golf/GTD-2.0T/36313713047288160/advert?channel=CARS,"41,712",2014 ,Dublin,6,2.0,Diesel,Automatic,Carbon Steel Grey Metallic,,,Hatchback
"Volkswagen Golf GTi 2.0T 220Bhp DSG/Auto,*3.9% Finance*, Test Drive Today",http://www.carzone.ie/search/Volkswagen/Golf/GTi-2.0T/38213911069016580/advert?channel=CARS,"44,950",2014 ,Dublin,"1,864",2.0,Petrol,Automatic,Reflex Silver Metallic,1,,Hatchback
Volkswagen Golf GOLF R 2.0TSI DSG 300BHP 5DR - FULLY LOADED **MASSIVE NEW & USED CAR SALE END SAT @ ,http://www.carzone.ie/search/Volkswagen/Golf/GOLF-R-2/42913940456933040/advert?channel=CARS,"58,950",2014 ,Dublin,"1,832",2.0,Petrol,Automatic,Blue,1,,Hatchback
Volkswagen Golf GTD 5 DOOR 185BHP FOR IMMEDIATE DELIVERY **WWW.NEWMARKETMOTORS.IE**,http://www.carzone.ie/search/Volkswagen/Golf/GTD-5-DO/38513903292926230/advert?channel=CARS,"39,631",2014 ,Cork,3,2.0,Diesel,Manual,Carbon Steel Grey Metallic,,,Hatchback
Volkswagen Golf GTI,http://www.carzone.ie/search/Volkswagen/Golf/GTI/39913900602011030/advert?channel=CARS,"39,750",2014 ,Limerick,621,2.0,Petrol,Automatic,White,1,,Estate
Volkswagen Golf GTi Performance 230BHB,http://www.carzone.ie/search/Volkswagen/Golf/GTi-Perf/42713945436489250/advert?channel=CARS,"39,995",2014 ,Louth,"1,242",2.0,Petrol,Manual,Carbon Steel,1,,Hatchback
Volkswagen Golf GTD 2.0TDI M6F 5DR 184HP,http://www.carzone.ie/search/Volkswagen/Golf/GTD-2.0T/38513899640889900/advert?channel=CARS,"40,000",2014 ,Kerry,,2.0,Diesel,Manual,Carbon Steel Gray Metallic,,,Hatchback
Volkswagen Golf GTD 2.0TDi 184hp,http://www.carzone.ie/search/Volkswagen/Golf/GTD-2.0T/43313945436487840/advert?channel=CARS,"40,160",2014 ,Louth,621,2.0,Diesel,Manual,Limestone Grey Metallic,,,Hatchback
Volkswagen Golf GTD 2.0TDI 5DR 170BHP,http://www.carzone.ie/search/Volkswagen/Golf/GTD-2.0T/42813948988464640/advert?channel=CARS,"40,615",2014 ,Louth,62,2.0,Diesel,Manual,Grey,,,Hatchback
Volkswagen Golf GTD 2.0TDI 170BHP 5DR,http://www.carzone.ie/search/Volkswagen/Golf/GTD-2.0T/44113933533578790/advert?channel=CARS,"41,325",2014 ,Cork,6,2.0,Diesel,Manual,Black,1,,Hatchback
Volkswagen Golf GTi Performance 3dr 230 BHP. Available for immediate delivery!!,http://www.carzone.ie/search/Volkswagen/Golf/GTi-Perf/39313918758392590/advert?channel=CARS,"39,305",2014 ,Tipperary,,2.0,Petrol,Manual,Carbon Steel Grey Metallic,,,Hatchback
"Volkswagen Golf GTI 2.0TSI 220BHP BMT *ORDER 2014-PRICE START FROM €35,285*",http://www.carzone.ie/search/Volkswagen/Golf/GTI-2.0T/37313834223270260/advert?channel=CARS,"35,285",2014 ,Cork,,2.0,Petrol,Manual,White,,,Hatchback
Volkswagen Golf GTI 2.0 TSI MANUAL 6SPEED FWD 220BHP 5DR,http://www.carzone.ie/search/Volkswagen/Golf/GTI-2.0-/38213916920035170/advert?channel=CARS,"35,950",2014 ,Tipperary,"3,107",2.0,Petrol,Manual,Black,1,"January, 2018",Hatchback
Volkswagen Golf GTD 2.0 184 Bhp 3dr,http://www.carzone.ie/search/Volkswagen/Golf/GTD-2.0-/37013863353787080/advert?channel=CARS,"37,245",2014 ,Waterford,,2.0,Diesel,Manual,Pure White,,,Hatchback
"Volkswagen Golf GTD 2.0TDI 184BHP BMT *ORDER 2014-PRICE START FROM €37,245*",http://www.carzone.ie/search/Volkswagen/Golf/GTD-2.0T/37713834223271840/advert?channel=CARS,"37,245",2014 ,Cork,,2.0,Diesel,Manual,White,,,Hatchback
